AcceptedSymbol,SynonymSymbol,ScientificName,CommonName
"SOSC2","","Sorbus scopulina Greene","Greene's mountain ash"
"SOSIG","","Sorbus sitchensis M. Roem. var. grayi (Wenzig) C.L. Hitchc.","western mountain ash"
"SONU2","","Sorghastrum nutans (L.) Nash","Indiangrass"
"SOBI2","","Sorghum bicolor (L.) Moench","sorghum"
"SOBIB","","Sorghum bicolor (L.) Moench ssp. bicolor ","grain sorghum"
"SOBID","","Sorghum bicolor (L.) Moench ssp. drummondii (Nees ex Steud.) de Wet & Harlan","Sudangrass"
"SOHA","","Sorghum halepense (L.) Pers.","Johnsongrass"
"SPAM","","Sparganium americanum Nutt.","American bur-reed"
"SPEU","","Sparganium eurycarpum Engelm.","broadfruit bur-reed"
"SPAL","","Spartina alterniflora Loisel.","smooth cordgrass"
"SPBA","","Spartina bakeri Merr.","sand cordgrass"
"SPCY","","Spartina cynosuroides (L.) Roth","big cordgrass"
"SPGR","","Spartina gracilis Trin.","alkali cordgrass"
"SPPA","","Spartina patens (Aiton) Muhl.","saltmeadow cordgrass"
"SPPE","","Spartina pectinata Bosc ex Link","prairie cordgrass"
"SPSP","","Spartina spartinae (Trin.) Merr. ex Hitchc.","gulf cordgrass"
"SPAM2","","Sphaeralcea ambigua A. Gray","desert globemallow"
"SPCO","","Sphaeralcea coccinea (Nutt.) Rydb.","scarlet globemallow"
"SPGR2","","Sphaeralcea grossulariifolia (Hook. & Arn.) Rydb.","gooseberryleaf globemallow"
"SPMU2","","Sphaeralcea munroana (Douglas) Spach","Munro's globemallow"
"SPOB","","Sphenopholis obtusata (Michx.) Scribn.","prairie wedgescale"
"SPAL2","","Spiraea alba Du Roi","white meadowsweet"
"SPBE2","","Spiraea betulifolia Pall.","white spirea"
"SPDO","","Spiraea douglasii Hook.","rose spirea"
"SPJA","","Spiraea japonica L. f.","Japanese meadowsweet"
"SPPR","","Spiraea prunifolia Siebold & Zucc.","bridalwreath spirea"
"SPTO2","","Spiraea tomentosa L.","steeplebush"
"SPTR2","","Spiraea trilobata L.","Asian meadowsweet"
"SPCE","","Spiranthes cernua (L.) Rich.","nodding lady's tresses"
"SPRO","","Spiranthes romanzoffiana Cham.","hooded lady's tresses"
"SPPO","","Spirodela polyrrhiza (L.) Schleid.","common duckmeat"
"SPMO","","Spondias mombin L.","yellow mombin"
"SPAI","","Sporobolus airoides (Torr.) Torr.","alkali sacaton"
"SPCOC2","","Sporobolus compositus (Poir.) Merr. var. compositus ","composite dropseed"
"SPCR","","Sporobolus cryptandrus (Torr.) A. Gray","sand dropseed"
"SPFL2","","Sporobolus flexuosus (Thurb. ex Vasey) Rydb.","mesa dropseed"
"SPHE","","Sporobolus heterolepis (A. Gray) A. Gray","prairie dropseed"
"SPIN5","","Sporobolus interruptus Vasey","black dropseed"
"SPVI3","","Sporobolus virginicus (L.) Kunth","seashore dropseed"
"SPWR2","","Sporobolus wrightii Munro ex Scribn.","big sacaton"
"STPA","","Stachys palustris L.","marsh hedgenettle"
"STTE","","Stachys tenuifolia Willd.","smooth hedgenettle"
"STMO","","Stahlia monosperma (Tul.) Urb.","cobana negra"
"STLO","","Stellaria longifolia Muhl. ex Willd.","longleaf starwort"
"STLO2","","Stellaria longipes Goldie","longstalk starwort"
"STNI","","Stellaria nitens Nutt.","shiny chickweed"
"STUM","","Stellaria umbellata Turcz. ex Kar. & Kir.","umbrella starwort"
"STSE","","Stenotaphrum secundatum (Walter) Kuntze","St. Augustine grass"
"STARA","","Stenotus armerioides Nutt. var. armerioides ","thrift mock goldenweed"
"STFIF","","Stuckenia filiformis (Pers.) Börner ssp. filiformis ","fineleaf pondweed"
"STPE15","","Stuckenia pectinata (L.) Börner","sago pondweed"
"STPE15","STPE12","Stuckenia pectinatus (L.) Börner, database artifact","sago pondweed"
"STAM4","","Styrax americanus Lam.","American snowbell"
"STGR4","","Styrax grandifolius Aiton","bigleaf snowbell"
"SWMA","","Swietenia macrophylla King","Honduras mahogany"
"SWMA2","","Swietenia mahagoni (L.) Jacq.","West Indian mahogany"
"SYAL","","Symphoricarpos albus (L.) S.F. Blake","common snowberry"
"SYOC","","Symphoricarpos occidentalis Hook.","western snowberry"
"SYOR","","Symphoricarpos orbiculatus Moench","coralberry"
"SYOR2","","Symphoricarpos oreophilus A. Gray","mountain snowberry"
"SYCHC","","Symphyotrichum chilense (Nees) G.L. Nesom var. chilense ","Pacific aster"
"SYCHI","","Symphyotrichum chilense (Nees) G.L. Nesom var. invenustum (Greene) G.L. Nesom","Pacific aster"
"SYCO4","","Symphyotrichum cordifolium (L.) G.L. Nesom","common blue wood aster"
"SYFOF","","Symphyotrichum foliaceum (Lindl. ex DC.) G.L. Nesom var. foliaceum ","alpine leafybract aster"
"SYLAL3","","Symphyotrichum laeve (L.) Á. Löve & D. Löve var. laeve ","smooth blue aster"
"SYLAH6","","Symphyotrichum lanceolatum (Willd.) G.L. Nesom ssp. hesperium (A. Gray) G.L. Nesom var. hesperium ","white panicle aster"
"SYLAH7","","Symphyotrichum lanceolatum (Willd.) G.L. Nesom ssp. lanceolatum var. hirsuticaule (Semple & Chmielewski) G.L. Nesom","white panicle aster"
"SYLAL7","SYLAH4","Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve var. hirsuticaule (Lindl. ex DC.) G.L. Nesom","calico aster"
"SYLAL7","","Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve var. lateriflorum ","calico aster"
"SYNON","","Symphyotrichum novi-belgii (L.) G.L. Nesom var. novi-belgii ","New York aster"
"SYPAP2","","Symphyotrichum patens (Aiton) G.L. Nesom var. patens ","late purple aster"
"SYPIP3","","Symphyotrichum pilosum (Willd.) G.L. Nesom var. pilosum ","hairy white oldfield aster"
"SYPR6","","Symphyotrichum prenanthoides (Muhl. ex Willd.) G.L. Nesom","crookedstem aster"
"SYPUP","","Symphyotrichum puniceum (L.) Á. Löve & D. Löve var. puniceum ","purplestem aster"
"SYSUS","","Symphyotrichum subspicatum (Nees) G.L. Nesom var. subspicatum ","Douglas aster"
"SYSU5","","Symphyotrichum subulatum (Michx.) G.L. Nesom","eastern annual saltmarsh aster"
"SYFO","","Symplocarpus foetidus (L.) Salisb. ex W.P.C. Barton","skunk cabbage"
"SYTI","","Symplocos tinctoria (L.) L'Hér.","common sweetleaf"
"SYVI3","","Syringa villosa Vahl","villous lilac"
"SYVU","","Syringa vulgaris L.","common lilac"
"SYCU","","Syzygium cumini (L.) Skeels","Java plum"
"TAHE","","Tabebuia heterophylla (DC.) Britton","white cedar"
"TAIN2","","Tamarindus indica L.","tamarind"
"TAOF","","Taraxacum officinale F.H. Wigg.","common dandelion"
"TAAS","","Taxodium ascendens Brongn.","pond cypress"
"TADI2","","Taxodium distichum (L.) Rich.","bald cypress"
"TAME2","","Taxus ×media Rehder [baccata × cuspidata]","hybrid yew"
"TABA80","","Taxus baccata L.","English yew"
"TABR2","","Taxus brevifolia Nutt.","Pacific yew"
"TACA7","","Taxus canadensis Marshall","Canada yew"
"TACU","","Taxus cuspidata Siebold & Zucc.","Japanese yew"
"TEST","","Tecoma stans (L.) Juss. ex Kunth","yellow trumpetbush"
"TECA","","Terminalia catappa L.","tropical almond"
"TECA2","","Tetradymia canescens DC.","spineless horsebrush"
"TEGL","","Tetradymia glabrata Torr. & A. Gray","littleleaf horsebrush"
"TESP2","","Tetradymia spinosa Hook. & Arn.","shortspine horsebrush"
"TECA3","","Teucrium canadense L.","Canada germander"
"THMO","","Thamnosma montana Torr. & Frém.","turpentinebroom"
"THNO","","Thelypteris noveboracensis (L.) Nieuwl.","New York fern"
"THGR2","","Thespesia grandiflora DC.","maga"
"THPO3","","Thespesia populnea (L.) Sol. ex Corrêa","Portia tree"
"THIN6","","Thinopyrum intermedium (Host) Barkworth & D.R. Dewey","intermediate wheatgrass"
"THPO7","","Thinopyrum ponticum (Podp.) Z.-W. Liu & R.-C. Wang","tall wheatgrass"
"THOC2","","Thuja occidentalis L.","arborvitae"
"THPL","","Thuja plicata Donn ex D. Don","western redcedar"
"TIAM","","Tilia americana L.","American basswood"
"TIAMH","","Tilia americana L. var. heterophylla (Vent.) Loudon","American basswood"
"TICO2","","Tilia cordata Mill.","littleleaf linden"
"TIUS","","Tillandsia usneoides (L.) L.","Spanish moss"
"TOTA","","Torreya taxifolia Arn.","Florida nutmeg"
"TRJA","","Trachelospermum jasminoides (Lindl.) Lem.","confederate jasmine"
"TRVI","","Tradescantia virginiana L.","Virginia spiderwort"
"TRDU","","Tragopogon dubius Scop.","yellow salsify"
"TRPO","","Tragopogon porrifolius L.","salsify"
"TRPR","","Tragopogon pratensis L.","Jack-go-to-bed-at-noon"
"TRMI2","","Trema micrantha (L.) Blume","Jamaican nettletree"
"TRHI3","","Trichilia hirta L.","broomstick"
"TRCE3","TRCA30","Trichophorum caespitosum (L.) Hartm., orth. var. ","tufted bulrush"
"TRCE3","","Trichophorum cespitosum (L.) Hartm.","tufted bulrush"
"TRFL2","","Tridens flavus (L.) Hitchc.","purpletop tridens"
"TRST2","","Tridens strictus (Nutt.) Nash","longspike tridens"
"TRAL6","","Trifolium alexandrinum L.","Egyptian clover"
"TRAM15","","Trifolium ambiguum M. Bieb.","Kura clover"
"TRFR2","","Trifolium fragiferum L.","strawberry clover"
"TRHI4","","Trifolium hirtum All.","rose clover"
"TRHY","","Trifolium hybridum L.","alsike clover"
"TRIN3","","Trifolium incarnatum L.","crimson clover"
"TRLO","","Trifolium longipes Nutt.","longstalk clover"
"TRMA3","","Trifolium macrocephalum (Pursh) Poir.","largehead clover"
"TRNI3","","Trifolium nigrescens Viv.","small white clover"
"TRPR2","","Trifolium pratense L.","red clover"
"TRRE3","","Trifolium repens L.","white clover"
"TRSU3","","Trifolium subterraneum L.","subterranean clover"
"TRVE","","Trifolium vesiculosum Savi","arrowleaf clover"
"TRWO","","Trifolium wormskioldii Lehm.","cows clover"
"TRDA3","","Tripsacum dactyloides (L.) L.","eastern gamagrass"
"TRCA21","","Trisetum canescens Buckley","tall trisetum"
"TRSP2","","Trisetum spicatum (L.) K. Richt.","spike trisetum"
"TRGR7","","Triteleia grandiflora Lindl.","largeflower triteleia"
"TRAE","","Triticum aestivum L.","common wheat"
"TSCA","","Tsuga canadensis (L.) Carrière","eastern hemlock"
"TSCA2","","Tsuga caroliniana Engelm.","Carolina hemlock"
"TSHE","","Tsuga heterophylla (Raf.) Sarg.","western hemlock"
"TSME","","Tsuga mertensiana (Bong.) Carrière","mountain hemlock"
"TYAN","","Typha angustifolia L.","narrowleaf cattail"
"TYLA","","Typha latifolia L.","broadleaf cattail"
"ULAL","","Ulmus alata Michx.","winged elm"
"ULAM","","Ulmus americana L.","American elm"
"ULCR","","Ulmus crassifolia Nutt.","cedar elm"
"ULPA","","Ulmus parvifolia Jacq.","Chinese elm"
"ULPU","","Ulmus pumila L.","Siberian elm"
"ULRU","","Ulmus rubra Muhl.","slippery elm"
"ULSE","","Ulmus serotina Sarg.","September elm"
"ULTH","","Ulmus thomasii Sarg.","rock elm"
"UMCA","","Umbellularia californica (Hook. & Arn.) Nutt.","California laurel"
"UNPA","","Uniola paniculata L.","seaoats"
"URBR2","","Urochloa brizantha (Hochst. ex A. Rich.) R. Webster","palisade grass"
"URMA3","","Urochloa maxima (Jacq.) R. Webster","guineagrass"
"URMU","","Urochloa mutica (Forssk.) T.Q. Nguyen","para grass"
"URPL2","","Urochloa platyphylla (Munro ex C. Wright) R.D. Webster","broadleaf signalgrass"
"URRA","","Urochloa ramosa (L.) Nguyen",""
"UTMI","","Utricularia minor L.","lesser bladderwort"
"VAAN","","Vaccinium angustifolium Aiton","lowbush blueberry"
"VAAR","","Vaccinium arboreum Marshall","farkleberry"
"VACE","VACA13","Vaccinium caespitosum Michx., orth. var. ","dwarf bilberry"
"VACE","","Vaccinium cespitosum Michx.","dwarf bilberry"
"VACO","","Vaccinium corymbosum L.","highbush blueberry"
"VAEL","","Vaccinium elliottii Chapm.","Elliott's blueberry"
"VAME","","Vaccinium membranaceum Douglas ex Torr.","thinleaf huckleberry"
"VAOV","","Vaccinium ovalifolium Sm.","oval-leaf blueberry"
"VAOV2","","Vaccinium ovatum Pursh","California huckleberry"
"VAPA","","Vaccinium parvifolium Sm.","red huckleberry"
"VASC","","Vaccinium scoparium Leiberg ex Coville","grouse whortleberry"
"VAST","","Vaccinium stamineum L.","deerberry"
"VAUL","","Vaccinium uliginosum L.","bog blueberry"
"VAVI","","Vaccinium vitis-idaea L.","lingonberry"
"VACO9","","Vachellia constricta (Benth.) Seigler & Ebinger","whitethorn acacia"
"VAOC2","","Valeriana occidentalis A. Heller","western valerian"
"VAAM3","","Vallisneria americana Michx.","American eelgrass"
"VECA2","","Veratrum californicum Durand","California false hellebore"
"VEEN","","Verbesina encelioides (Cav.) Benth. & Hook. f. ex A. Gray","golden crownbeard"
"VEMI2","","Vernonia missurica Raf.","Missouri ironweed"
"VENO","","Vernonia noveboracensis (L.) Michx.","New York ironweed"
"VEAM2","","Veronica americana Schwein. ex Benth.","American speedwell"
"VEWO2","","Veronica wormskjoldii Roem. & Schult.","American alpine speedwell"
"VEZI80","","Vetiveria zizanioides (L.) Nash","vetivergrass"
"VIAC","","Viburnum acerifolium L.","mapleleaf viburnum"
"VIDED4","","Viburnum dentatum L. var. dentatum ","southern arrowwood"
"VIRE7","VIDEL","Viburnum dentatum L. var. lucidum Aiton","southern arrowwood"
"VIED","","Viburnum edule (Michx.) Raf.","squashberry"
"VILA","","Viburnum lantana L.","wayfaringtree"
"VILA11","","Viburnum lantanoides Michx.","hobblebush"
"VILE","","Viburnum lentago L.","nannyberry"
"VINUC","","Viburnum nudum L. var. cassinoides (L.) Torr. & A. Gray","withe-rod"
"VIOB","","Viburnum obovatum Walter","small-leaf arrowwood"
"VIOP","","Viburnum opulus L.","European cranberrybush"
"VIOPA2","","Viburnum opulus L. var. americanum Aiton","American cranberrybush"
"VIPR","","Viburnum prunifolium L.","blackhaw"
"VIRA","","Viburnum rafinesqueanum Schult.","downy arrowwood"
"VIRE7","","Viburnum recognitum Fernald","southern arrowwood"
"VIAM","","Vicia americana Muhl. ex Willd.","American vetch"
"VIBE","","Vicia benghalensis L.",""
"VICR","","Vicia cracca L.","bird vetch"
"VIGR","","Vicia grandiflora Scop.","large yellow vetch"
"VILU2","","Vicia lutea L.","smooth yellow vetch"
"VISA","","Vicia sativa L.","garden vetch"
"VIVI","","Vicia villosa Roth","winter vetch"
"VIVIV8","","Vicia villosa Roth ssp. varia (Host) Corb.","winter vetch"
"VIRA4","","Vigna radiata (L.) R. Wilczek","mung bean"
"VIUN","","Vigna unguiculata (L.) Walp.","cowpea"
"VIMI2","","Vinca minor L.","common periwinkle"
"VIMA2","","Viola macloskeyi Lloyd","small white violet"
"VIPU3","","Viola pubescens Aiton","downy yellow violet"
"VISO","","Viola sororia Willd.","common blue violet"
"VIDI2","","Vitex divaricata Sw.","higuerillo"
"VITRV","","Vitex trifolia L. var. variegata Moldenke","varigated chastetree"
"VIAE","","Vitis aestivalis Michx.","summer grape"
"VICI2","","Vitis cinerea (Engelm.) Engelm. ex Millard","graybark grape"
"VIPA7","","Vitis palmata Vahl","catbird grape"
"VIRI","","Vitis riparia Michx.","riverbank grape"
"VIRO3","","Vitis rotundifolia Michx.","muscadine"
"VIVU","","Vitis vulpina L.","frost grape"
"VUMY","","Vulpia myuros (L.) C.C. Gmel.",""
"WIUV","","Wikstroemia uva-ursi A. Gray","hillside false ohelo"
"WIFR","","Wisteria frutescens (L.) Poir.","American wisteria"
"WYAM","","Wyethia amplexicaulis (Nutt.) Nutt.","mule-ears"
"WYMO","","Wyethia mollis A. Gray","woolly mule-ears"
"XETE","","Xerophyllum tenax (Pursh) Nutt.","common beargrass"
"YUAL","","Yucca aloifolia L.","aloe yucca"
"YUBA","","Yucca baccata Torr.","banana yucca"
"YUBRB","","Yucca brevifolia Engelm. var. brevifolia ","Joshua tree"
"YUEL","","Yucca elata (Engelm.) Engelm.","soaptree yucca"
"YUGL","","Yucca glauca Nutt.","soapweed yucca"
"HEWH","YUWH","Yucca whipplei Torr.","chaparral yucca"
"ZEMA","","Zea mays L.","corn"
"ZESE80","","Zelkova serrata (Thunb.) Makino","Japanese zelkova"
"ZEPU3","","Zenobia pulverulenta (W. Bartram ex Willd.) Pollard","honeycup"
"ZIPA2","","Zigadenus paniculatus (Nutt.) S. Watson","foothill deathcamas"
"ZIAQ","","Zizania aquatica L.","annual wildrice"
"ZIMI","","Zizaniopsis miliacea (Michx.) Döll & Asch.","giant cutgrass"
"ZOJA","","Zoysia japonica Steud.","Korean lawngrass"
"ZOMA2","","Zoysia matrella (L.) Merr.","Manila grass"
